Instance,GR,ILS
65_441_7_social_0.sol,5,5
65_475_8_social_0.sol,5,5
65_509_9_social_0.sol,4,4
65_543_9_social_0.sol,6,6
65_578_10_social_0.sol,5,5
65_612_11_social_0.sol,4,4
65_646_12_social_0.sol,4,4
65_64_1_social_0.sol,9,9
65_680_13_social_0.sol,4,4
65_714_14_social_0.sol,3,3
65_749_14_social_0.sol,3,3
65_783_15_social_0.sol,2,2
65_817_17_social_0.sol,3,3
65_851_18_social_0.sol,3,3
65_885_19_social_0.sol,3,3
65_920_20_social_0.sol,2,2
65_954_22_social_0.sol,2,2
65_988_24_social_0.sol,2,2
65_99_1_social_0.sol,4,4
700_101500_205_social_0.sol,4,4
700_105700_220_social_0.sol,4,4
700_109900_237_social_0.sol,4,4
700_114100_258_social_0.sol,3,3
700_118300_285_social_0.sol,3,3
700_122500_350_social_0.sol,2,2
700_13300_19_social_0.sol,22,22
700_17500_25_social_0.sol,18,18
700_21700_32_social_0.sol,15,17
700_25900_39_social_0.sol,13,14
700_30100_46_social_0.sol,13,13
700_34300_53_social_0.sol,12,12
700_38500_60_social_0.sol,10,10
700_42700_67_social_0.sol,9,9
700_46900_75_social_0.sol,9,9
700_4900_7_social_0.sol,45,47
700_51100_82_social_0.sol,8,8
700_55300_90_social_0.sol,8,8
700_59500_99_social_0.sol,7,7
700_63700_107_social_0.sol,7,7
700_67900_116_social_0.sol,7,7
700_699_1_social_0.sol,99,99
700_72100_125_social_0.sol,6,6
700_76300_135_social_0.sol,6,6
700_80500_145_social_0.sol,6,6
700_84700_155_social_0.sol,6,5
700_88900_166_social_0.sol,5,5
700_9100_13_social_0.sol,29,31
700_93100_178_social_0.sol,5,5
700_97300_191_social_0.sol,5,5
70_1026_20_social_0.sol,3,3
70_1066_22_social_0.sol,3,3
70_109_1_social_0.sol,2,2
70_1106_24_social_0.sol,2,2
70_1146_26_social_0.sol,3,3
70_1186_28_social_0.sol,2,2
70_1225_35_social_0.sol,2,2
70_149_2_social_0.sol,3,3
70_189_2_social_0.sol,5,4
70_229_3_social_0.sol,6,5
70_269_4_social_0.sol,6,6
70_309_4_social_0.sol,7,6
70_349_5_social_0.sol,6,6
70_388_6_social_0.sol,6,6
70_428_6_social_0.sol,5,5
70_468_7_social_0.sol,6,6
70_508_8_social_0.sol,6,6
70_548_8_social_0.sol,5,5
70_588_9_social_0.sol,5,5
70_628_10_social_0.sol,5,5
70_667_11_social_0.sol,5,5
70_69_1_social_0.sol,9,9
70_707_12_social_0.sol,4,4
70_747_13_social_0.sol,4,4
70_787_14_social_0.sol,4,4
70_827_15_social_0.sol,4,4
70_867_16_social_0.sol,3,3
70_907_17_social_0.sol,4,4
70_946_18_social_0.sol,3,3
70_986_19_social_0.sol,3,3
75_1039_18_social_0.sol,4,4
75_1085_19_social_0.sol,3,3
75_1131_20_social_0.sol,3,3
75_1177_22_social_0.sol,3,3
75_120_1_social_0.sol,5,4
75_1223_23_social_0.sol,3,3
75_1269_25_social_0.sol,3,3
75_1315_27_social_0.sol,3,3
75_1361_30_social_0.sol,2,2
75_1406_37_social_0.sol,2,2
75_166_2_social_0.sol,5,4
75_212_2_social_0.sol,5,5
75_258_3_social_0.sol,6,6
75_304_4_social_0.sol,7,7
75_350_5_social_0.sol,8,8
75_396_5_social_0.sol,7,7
75_442_6_social_0.sol,7,7
